,股票代码,交易日期,开盘价,最高价,最低价,收盘价,昨收价【除权价，前复权】,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】,成交量,成交额（千元）,close_y,换手率,换手率（自由流通股）,量比,市盈率（总市值/净利润，亏损的PE为空）,市盈率（TTM，亏损的PE为空）,市净率（总市值/净资产）,市销率,市销率（TTM）,股息率 （%）,股息率（TTM）（%）,总股本 （万股）,流通股本 （万股）,自由流通股本 （万）,总市值 （万元）,流通市值（万元）
364,603000.SH,20231214,33.19,33.7,32.93,33.01,33.26,-0.25,-0.7517,222029.28,739029.925,33.01,2.0081,4.6221,0.61,117.6619,135.7825,10.452,18.4545,18.0193,0.3181,0.4938,110569.1056,110569.1056,48036.5035,3649886.1759,3649886.1759
365,603000.SH,20231213,33.5,33.98,33.21,33.26,33.81,-0.55,-1.6267,257342.42,861795.654,33.26,2.3274,5.3572,0.7,118.553,136.8108,10.5311,18.5943,18.1558,0.3157,0.4901,110569.1056,110569.1056,48036.5035,3677528.4523,3677528.4523
366,603000.SH,20231212,33.3,34.27,32.82,33.81,33.45,0.36,1.0762,457002.69,1536908.293,33.81,4.1332,9.5137,1.29,120.5135,139.0732,10.7053,18.9018,18.456,0.3106,0.4821,110569.1056,110569.1056,48036.5035,3738341.4603,3738341.4603
367,603000.SH,20231211,33.09,33.6,32.78,33.45,33.08,0.37,1.1185,294553.81,981849.807,33.45,2.664,6.1319,0.74,119.2303,137.5923,10.5913,18.7005,18.2595,0.3139,0.4873,110569.1056,110569.1056,48036.5035,3698536.5823,3698536.5823
368,603000.SH,20231208,33.66,33.83,32.9,33.08,33.65,-0.57,-1.6939,321285.71,1068831.752,33.08,2.9057,6.6884,0.74,117.9115,136.0704,10.4741,18.4937,18.0575,0.3174,0.4927,110569.1056,110569.1056,48036.5035,3657626.0132,3657626.0132
369,603000.SH,20231207,32.39,34.18,32.32,33.65,32.57,1.08,3.3159,475371.25,1591334.226,33.65,4.2993,9.896,1.14,119.9432,138.415,10.6546,18.8123,18.3687,0.312,0.4844,110569.1056,110569.1056,48036.5035,3720650.4034,3720650.4034
370,603000.SH,20231206,32.5,33.25,31.91,32.57,33.01,-0.44,-1.3329,288662.96,939154.773,32.57,2.6107,6.0092,0.63,116.0936,133.9726,10.3126,18.2086,17.7791,0.3224,0.5005,110569.1056,110569.1056,48036.5035,3601235.7694,3601235.7694
371,603000.SH,20231205,34.37,34.4,33.0,33.01,34.68,-1.67,-4.8155,389727.82,1310133.753,33.01,3.5247,8.1132,0.72,117.6619,135.7825,10.452,18.4545,18.0193,0.3181,0.4938,110569.1056,110569.1056,48036.5035,3649886.1759,3649886.1759
372,603000.SH,20231204,34.5,35.18,34.0,34.68,34.55,0.13,0.3763,513873.55,1781367.322,34.68,4.6475,10.6976,0.98,123.6145,142.6518,10.9807,19.3882,18.9309,0.3028,0.47,110569.1056,110569.1056,48036.5035,3834536.5822,3834536.5822
373,603000.SH,20231201,33.7,35.1,33.6,34.55,33.96,0.59,1.7373,488768.54,1685735.887,34.55,4.4205,10.1749,0.96,123.1512,142.117,10.9396,19.3155,18.86,0.3039,0.4718,110569.1056,110569.1056,48036.5035,3820162.5985,3820162.5985
374,603000.SH,20231130,34.79,34.79,33.34,33.96,34.79,-0.83,-2.3857,400353.74,1359429.162,33.96,3.6208,8.3344,0.77,121.0482,139.6902,10.7528,18.9857,18.5379,0.3092,0.48,110569.1056,110569.1056,48036.5035,3754926.8262,3754926.8262
375,603000.SH,20231129,34.8,35.7,34.28,34.79,35.32,-0.53,-1.5006,483916.68,1692450.462,34.79,4.3766,10.0739,0.87,124.0066,143.1043,11.0156,19.4497,18.991,0.3018,0.4685,110569.1056,110569.1056,48036.5035,3846699.1838,3846699.1838
376,603000.SH,20231128,33.17,36.47,32.05,35.32,33.17,2.15,6.4818,820015.41,2802184.25,35.32,7.4163,17.0707,1.84,125.8958,145.2843,11.1834,19.746,19.2803,0.2973,0.4615,110569.1056,110569.1056,48036.5035,3905300.8098,3905300.8098
