"ts_code","symbol","industry","name","list_date"
"001269.SZ","001269","矿物制品","欧晶科技","20220930"
"001270.SZ","001270","半导体","*ST铖昌","20220606"
"001277.SZ","001277","专用机械","速达股份","20240903"
"001278.SZ","001278","汽车配件","一彬科技","20230308"
"001279.SZ","001279","广告包装","强邦新材","20241011"
"001282.SZ","001282","汽车配件","三联锻造","20230524"
"001283.SZ","001283","电气设备","豪鹏科技","20220905"
"001286.SZ","001286","火力发电","陕西能源","20230410"
"001287.SZ","001287","元器件","中电港","20230410"
"001288.SZ","001288","专用机械","运机集团","20211101"
"001289.SZ","001289","新型电力","龙源电力","20220124"
"001296.SZ","001296","其他建材","长江材料","20211224"
"001298.SZ","001298","元器件","好上好","20221031"
"001299.SZ","001299","供气供热","美能能源","20221031"
"001300.SZ","001300","文教休闲","三柏硕","20221019"
"001301.SZ","001301","电气设备","尚太科技","20221228"
"001306.SZ","001306","机械基件","夏厦精密","20231116"
"001308.SZ","001308","元器件","康冠科技","20220318"
"001309.SZ","001309","半导体","德明利","20220701"
"001311.SZ","001311","汽车配件","多利科技","20230227"
"001313.SZ","001313","饲料","粤海饲料","20220216"
"001314.SZ","001314","元器件","亿道信息","20230214"
"001316.SZ","001316","批发业","润贝航科","20220624"
"001317.SZ","001317","铁路","三羊马","20211130"
"001318.SZ","001318","乳制品","阳光乳业","20220520"
"001319.SZ","001319","汽车配件","铭科精技","20220512"
"001322.SZ","001322","家居用品","箭牌家居","20221026"
"001323.SZ","001323","家居用品","慕思股份","20220623"
"001324.SZ","001324","运输设备","长青科技","20230522"
"001326.SZ","001326","电气设备","联域股份","20231109"
"001328.SZ","001328","日用化工","登康口腔","20230410"
"001330.SZ","001330","影视音像","博纳影业","20220818"
"001331.SZ","001331","公路","胜通能源","20220908"
"001332.SZ","001332","专用机械","锡装股份","20220920"
"001333.SZ","001333","化工原料","光华股份","20221208"
"001335.SZ","001335","化工原料","信凯科技","20250415"
"001336.SZ","001336","专用机械","楚环科技","20220725"
"001337.SZ","001337","黄金","四川黄金","20230303"
"001338.SZ","001338","啤酒","永顺泰","20221116"
"001339.SZ","001339","IT设备","智微智能","20220815"
"001356.SZ","001356","塑料","富岭股份","20250123"
"001358.SZ","001358","化工原料","兴欣新材","20231221"
"001359.SZ","001359","矿物制品","平安电工","20240328"
"001360.SZ","001360","工程机械","南矿集团","20230410"
"001366.SZ","001366","饲料","播恩集团","20230307"
"001367.SZ","001367","化学制药","海森药业","20230410"
"001368.SZ","001368","文教休闲","通达创智","20230313"
"001373.SZ","001373","元器件","翔腾新材","20230601"
"001376.SZ","001376","供气供热","百通能源","20231103"
"001378.SZ","001378","塑料","德冠新材","20231030"
"001379.SZ","001379","机械基件","腾达科技","20240119"
"001380.SZ","001380","汽车配件","华纬科技","20230516"
"001382.SZ","001382","电气设备","新亚电缆","20250321"
"001387.SZ","001387","家用电器","雪祺电气","20240111"
"001389.SZ","001389","元器件","广合科技","20240402"
"001390.SZ","001390","纺织","古麒绒材","20250529"
"001391.SZ","001391","仓储物流","国货航","20241230"
"001395.SZ","001395","专用机械","亚联机械","20250127"
"001400.SZ","001400","专用机械","江顺科技","20250424"
"001696.SZ","001696","摩托车","宗申动力","19970306"
"001872.SZ","001872","港口","招商港口","19930505"
"001896.SZ","001896","火力发电","豫能控股","19980122"
"001914.SZ","001914","房产服务","招商积余","19940928"
"001965.SZ","001965","路桥","招商公路","20171225"
"001979.SZ","001979","全国地产","招商蛇口","20151230"
