股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
000608.SZ,20200529,week,5.16,5.64,5.06,5.18,5.15,5.16,5.64,5.06,5.18,57.41,62.75,56.29,57.63,120070.23,63260.17,0.03,0.01
000608.SZ,20200522,week,5.3,5.32,5.12,5.15,5.29,5.3,5.32,5.12,5.15,58.96,59.19,56.96,57.3,70469.96,36693.78,-0.14,-0.03
000608.SZ,20200515,week,5.47,5.56,5.2,5.29,5.5,5.47,5.56,5.2,5.29,60.86,61.86,57.85,58.85,96229.26,51375.13,-0.21,-0.04
000608.SZ,20200508,week,5.28,5.55,5.25,5.5,5.37,5.28,5.55,5.25,5.5,58.74,61.75,58.41,61.19,84770.42,45530.06,0.13,0.02
000608.SZ,20200501,week,5.7,6.29,5.24,5.37,5.78,5.7,6.29,5.24,5.37,63.41,69.98,58.3,59.74,316521.39,183666.84,-0.41,-0.07
000608.SZ,20200424,week,5.18,6.13,5.11,5.78,5.18,5.18,6.13,5.11,5.78,57.63,68.2,56.85,64.3,302201.43,168981.49,0.6,0.12
000608.SZ,20200417,week,5.01,5.4,4.9,5.18,5.05,5.01,5.4,4.9,5.18,55.74,60.08,54.51,57.63,170090.81,89260.2,0.13,0.03
000608.SZ,20200410,week,5.19,5.3,4.94,5.05,5.18,5.19,5.3,4.94,5.05,57.74,58.96,54.96,56.18,85887.74,43876.73,-0.13,-0.03
000608.SZ,20200403,week,5.3,5.3,4.9,5.18,5.32,5.3,5.3,4.9,5.18,58.96,58.96,54.51,57.63,84553.57,43416.58,-0.14,-0.03
000608.SZ,20200327,week,5.11,5.4,5.01,5.32,5.15,5.11,5.4,5.01,5.32,56.85,60.08,55.74,59.19,137288.57,71994.2,0.17,0.03
000608.SZ,20200320,week,5.66,5.74,4.86,5.15,5.65,5.66,5.74,4.86,5.15,62.97,63.86,54.07,57.3,174103.95,90672.26,-0.5,-0.09
000608.SZ,20200313,week,6.0,6.16,5.38,5.65,6.03,6.0,6.16,5.38,5.65,66.75,68.53,59.85,62.86,186394.24,108017.17,-0.38,-0.06
000608.SZ,20200306,week,5.09,6.09,5.02,6.03,5.23,5.09,6.09,5.02,6.03,56.63,67.75,55.85,67.09,294690.5,166814.76,0.8,0.15
000608.SZ,20200228,week,4.75,5.59,4.65,5.23,4.76,4.75,5.59,4.65,5.23,52.85,62.19,51.73,58.19,382700.0,199469.77,0.47,0.1
