股票代码,交易日期,freq,开盘价,最高价,最低价,close,昨收价【除权价，前复权】,open_qfq,high_qfq,low_qfq,close_qfq,open_hfq,high_hfq,low_hfq,close_hfq,成交量,成交额（千元）,涨跌额,涨跌幅 【基于除权后的昨收计算的涨跌幅：（今收-除权昨收）/除权昨收 】
600580.SH,20220128,week,15.71,16.02,14.58,14.87,15.81,12.63,12.88,11.72,11.96,114.45,116.71,106.22,108.33,828564.45,1269686.96,-0.94,-0.06
600580.SH,20220121,week,16.58,17.05,15.78,15.81,16.58,13.33,13.71,12.69,12.71,120.79,124.21,114.96,115.18,798730.06,1314624.01,-0.77,-0.05
600580.SH,20220114,week,16.83,16.88,15.89,16.58,16.89,13.53,13.57,12.78,13.33,122.61,122.97,115.76,120.79,997546.29,1640241.38,-0.31,-0.02
600580.SH,20220107,week,18.42,18.49,16.86,16.89,18.29,14.81,14.87,13.56,13.58,134.19,134.7,122.83,123.04,939217.46,1639405.19,-1.4,-0.08
600580.SH,20211231,week,18.35,19.33,18.13,18.29,18.44,14.75,15.54,14.58,14.71,133.68,140.82,132.08,133.24,876838.01,1640529.63,-0.15,-0.01
600580.SH,20211224,week,19.65,19.8,18.2,18.44,19.8,15.8,15.92,14.63,14.83,143.15,144.24,132.59,134.34,1437389.1,2710875.87,-1.36,-0.07
600580.SH,20211217,week,19.75,20.44,18.97,19.8,20.13,15.88,16.43,15.25,15.92,143.88,148.91,138.2,144.24,1687687.89,3346202.45,-0.33,-0.02
600580.SH,20211210,week,19.46,21.2,19.28,20.13,19.7,15.65,17.04,15.5,16.18,141.77,154.44,140.45,146.65,2639222.34,5329566.44,0.43,0.02
600580.SH,20211203,week,17.28,20.43,17.17,19.7,17.63,13.89,16.43,13.8,15.84,125.88,148.83,125.08,143.51,3828979.54,7399273.18,2.07,0.12
600580.SH,20211126,week,17.1,18.44,16.4,17.63,16.91,13.75,14.83,13.19,14.17,124.57,134.34,119.47,128.43,4083604.56,7096322.07,0.72,0.04
600580.SH,20211119,week,16.09,16.91,15.21,16.91,16.0,12.94,13.6,12.23,13.6,117.22,123.19,110.8,123.19,2755902.1,4402836.59,0.91,0.06
600580.SH,20211112,week,14.8,16.15,14.58,16.0,14.85,11.9,12.98,11.72,12.86,107.82,117.65,106.22,116.56,2267069.19,3489355.82,1.15,0.08
600580.SH,20211105,week,14.64,15.54,14.45,14.85,14.81,11.77,12.49,11.62,11.94,106.65,113.21,105.27,108.18,1658692.81,2487136.77,0.04,0.0
600580.SH,20211029,week,14.39,15.25,14.11,14.81,14.58,11.57,12.26,11.34,11.91,104.83,111.1,102.79,107.89,1587522.47,2350508.84,0.23,0.02
600580.SH,20211022,week,13.2,14.76,13.15,14.58,13.21,10.61,11.87,10.57,11.72,96.16,107.53,95.8,106.22,1118382.97,1561074.53,1.37,0.1
600580.SH,20211015,week,13.51,13.58,12.47,13.21,13.44,10.86,10.92,10.03,10.62,98.42,98.93,90.84,96.23,810387.12,1055118.99,-0.23,-0.02
600580.SH,20211008,week,13.4,13.76,13.22,13.44,13.29,10.77,11.06,10.63,10.81,97.62,100.24,96.31,97.91,220000.27,295331.72,0.15,0.01
600580.SH,20211001,week,15.22,15.39,12.86,13.29,15.16,12.24,12.37,10.34,10.69,110.88,112.12,93.69,96.82,1591836.71,2168223.22,-1.87,-0.12
600580.SH,20210924,week,14.2,16.25,14.11,15.16,14.34,11.42,13.07,11.34,12.19,103.45,118.38,102.79,110.44,1901479.71,2949722.84,0.82,0.06
600580.SH,20210917,week,14.7,14.85,13.95,14.34,14.7,11.82,11.94,11.22,11.53,107.09,108.18,101.63,104.47,1411995.02,2032860.76,-0.36,-0.02
600580.SH,20210910,week,15.17,15.55,14.5,14.7,15.14,12.2,12.5,11.66,11.82,110.51,113.28,105.63,107.09,2019906.52,3046101.68,-0.44,-0.03
600580.SH,20210903,week,14.4,15.68,14.1,15.14,14.59,11.58,12.61,11.34,12.17,104.9,114.23,102.72,110.29,2439527.29,3671656.37,0.55,0.04
600580.SH,20210827,week,13.85,15.15,13.85,14.59,13.84,11.14,12.18,11.14,11.73,100.9,110.37,100.9,106.29,2111293.03,3100441.6,0.75,0.05
600580.SH,20210820,week,14.8,16.16,13.43,13.84,15.02,11.9,12.99,10.8,11.13,107.82,117.73,97.84,100.82,3427088.61,4920587.87,-1.18,-0.08
600580.SH,20210813,week,13.51,15.06,13.02,15.02,13.54,10.86,12.11,10.47,12.08,98.42,109.71,94.85,109.42,3294788.23,4608527.09,1.48,0.11
600580.SH,20210806,week,13.2,13.64,12.57,13.54,12.85,10.61,10.97,10.11,10.89,96.16,99.37,91.57,98.64,1776219.03,2353726.14,0.69,0.05
600580.SH,20210730,week,13.96,14.01,11.7,12.85,13.75,11.22,11.26,9.41,10.33,101.7,102.06,85.23,93.61,1918071.63,2469312.66,-0.9,-0.07
